"","Water.Control.Zone","Station","Dates","Sample.No","Depth","Volatile.Suspended.Solids..mg.L.","Unionised.Ammonia..mg.L.","Turbidity..NTU.","Total.Phosphorus..mg.L.","Total.Nitrogen..mg.L.","Total.Kjeldahl.Nitrogen..mg.L.","Total.Inorganic.Nitrogen..mg.L.","Temperature...C.","Suspended.Solids..mg.L.","Silica..mg.L.","Secchi.Disc.Depth..M.","Salinity..psu.","Phaeo.pigments..μg.L.","pH","Orthophosphate.Phosphorus..mg.L.","Nitrite.Nitrogen..mg.L.","Nitrate.Nitrogen..mg.L.","Faecal.Coliforms..cfu.100mL.","E..coli..cfu.100mL.","Dissolved.Oxygen..mg.L.","Dissolved.Oxygen...saturation.","Chlorophyll.a..μg.L.","Ammonia.Nitrogen..mg.L.","X5.day.Biochemical.Oxygen.Demand..mg.L.","site","phase"
"1109","Mirs Bay","MM5","2021-04-29",1,"Middle Water","<0.5","<0.001","2.9","0.04","0.39","0.39","0.05",24.2,"0.7","0.59",6.3,33.6,"<0.2",7.5,"0.011","0.002","<0.002","<1","<1",5.3,76,"1.9","0.042","<0.1","TPC","initial"
"1110","Mirs Bay","MM5","2021-04-29",1,"Bottom Water","<0.5","<0.001","5.3","0.08","0.61","0.61","0.05",24,"1","0.6",6.3,33.7,"<0.2",7.4,"0.007","<0.002","<0.002","<1","<1",5.1,74,"1.4","0.042","<0.1","TPC","initial"
"1111","Mirs Bay","MM5","2021-05-26",1,"Surface Water","0.5","<0.001","3.4","N/A","N/A","N/A","0.04",29.3,"3.7","0.5",5.7,32.7,"<0.2",7.5,"0.003","<0.002","<0.002","8","8",6.1,96,"1.3","0.039","<0.1","TPC","initial"
"1112","Mirs Bay","MM5","2021-05-26",1,"Middle Water","<0.5","<0.001","2.3","N/A","N/A","N/A","0.03",25.5,"<0.5","0.2",5.7,34.2,"<0.2",7.6,"0.006","<0.002","<0.002","<1","<1",4.5,67,"1.4","0.03","<0.1","TPC","initial"
"1113","Mirs Bay","MM5","2021-05-26",1,"Bottom Water","<0.5","<0.001","4.3","N/A","N/A","N/A","0.04",23.2,"0.9","0.27",5.7,34.4,"<0.2",7.5,"0.006","0.005","<0.002","<1","<1",4.3,62,"1.8","0.033","0.1","TPC","initial"
"1114","Mirs Bay","MM5","2021-06-23",1,"Surface Water","1.1","<0.001","2.6","N/A","N/A","N/A","0.03",28.3,"7.9","0.08",4,32.9,"<0.2",7.6,"0.006","<0.002","<0.002","5","<1",4.8,74,"3.3","0.023","1.2","TPC","initial"
"1115","Mirs Bay","MM5","2021-06-23",1,"Middle Water","0.6","<0.001","2.4","N/A","N/A","N/A","0.04",24.2,"3.2","0.53",4,34.2,"<0.2",7.5,"0.008","0.008","0.006","19","<1",4.5,66,"2.5","0.028","0.5","TPC","initial"
"1116","Mirs Bay","MM5","2021-06-23",1,"Bottom Water","<0.5","<0.001","5.1","N/A","N/A","N/A","0.08",23.9,"4.5","0.71",4,34.3,"0.5",7.4,"0.011","0.038","0.013","1","<1",3.6,51,"1.3","0.025","0.5","TPC","initial"
"1117","Mirs Bay","MM5","2021-07-23",1,"Surface Water","0.6","<0.001","2.6","N/A","N/A","N/A","0.04",29.9,"1.6","0.2",5.9,30.1,"<0.2",7.6,"<0.002","<0.002","0.004","1","<1",4.7,73,"2.2","0.032","0.6","TPC","middle"
"1118","Mirs Bay","MM5","2021-07-23",1,"Middle Water","<0.5","<0.001","2.4","N/A","N/A","N/A","0.04",28.2,"1.3","0.23",5.9,31.1,"0.6",7.5,"<0.002","<0.002","0.005","<1","<1",4.1,62,"1.2","0.036","0.2","TPC","middle"
"1119","Mirs Bay","MM5","2021-07-23",1,"Bottom Water","0.5","<0.001","4","N/A","N/A","N/A","0.08",26.6,"2.5","0.79",5.9,33,"0.6",7.2,"0.01","0.006","0.019","<1","<1",3.2,47,"0.8","0.057","0.2","TPC","middle"
"1120","Mirs Bay","MM5","2021-08-16",1,"Surface Water","2","<0.001","3.8","N/A","N/A","N/A","0.02",28.6,"2.3","0.07",4.3,32.3,"<0.2",7.5,"<0.002","<0.002","<0.002","2","<1",5,72,"1.6","0.016","0.9","TPC","middle"
"1121","Mirs Bay","MM5","2021-08-16",1,"Middle Water","1.3","<0.001","2.5","N/A","N/A","N/A","0.03",23.9,"2.4","0.33",4.3,34.2,"<0.2",7.2,"0.006","<0.002","0.006","2","<1",4.7,61,"4.8","0.024","0.8","TPC","middle"
"1122","Mirs Bay","MM5","2021-08-16",1,"Bottom Water","1.2","<0.001","6.9","N/A","N/A","N/A","0.1",22.7,"4.6","1.1",4.3,34.4,"1.2",7.2,"0.02","<0.002","0.076","<1","<1",2.4,33,"2.5","0.022","0.3","TPC","middle"
"1123","Mirs Bay","MM5","2021-09-20",1,"Surface Water","1","0.002","3.5","N/A","N/A","N/A","0.05",29.7,"4","0.3",5.7,32.1,"<0.2",8.2,"<0.002","<0.002","0.024","2","<1",4.6,72,"2.1","0.028","0.8","TPC","middle"
"1124","Mirs Bay","MM5","2021-09-20",1,"Middle Water","0.6","0.002","5.3","N/A","N/A","N/A","0.05",28.7,"2.2","0.29",5.7,33,"<0.2",8.1,"<0.002","<0.002","0.024","1","<1",6,93,"2.1","0.024","1.1","TPC","middle"
"1125","Mirs Bay","MM5","2021-09-20",1,"Bottom Water","1.1","<0.001","18.6","N/A","N/A","N/A","0.05",23.5,"3.2","0.44",5.7,34.2,"0.8",7.8,"<0.002","<0.002","0.02","<1","<1",2,30,"1.9","0.031","0.8","TPC","middle"
"1126","Mirs Bay","MM5","2021-10-22",1,"Surface Water","0.9","0.002","6.9","N/A","N/A","N/A","0.05",26.4,"3.3","0.58",2.3,32.5,"1",7.9,"0.006","0.011","0.003","1","<1",6.2,93,"0.7","0.037","0.4","TPC","middle"
"1127","Mirs Bay","MM5","2021-10-22",1,"Middle Water","0.9","0.001","5.9","N/A","N/A","N/A","0.05",26.5,"3.2","0.59",2.3,32.6,"0.3",7.9,"0.005","0.013","0.004","<1","<1",5.9,89,"0.3","0.032","0.4","TPC","middle"
"1128","Mirs Bay","MM5","2021-10-22",1,"Bottom Water","0.9","0.001","6.9","N/A","N/A","N/A","0.03",26.5,"3.3","0.57",2.3,32.7,"<0.2",7.9,"0.005","<0.002","<0.002","<1","<1",6.1,91,"0.5","0.03","0.3","TPC","middle"
"1129","Mirs Bay","MM5","2021-11-18",1,"Surface Water","0.7","<0.001","5.9","0.11","1.21","1.2","0.04",23.7,"0.9","0.4",4.3,33.1,"<0.2",7.7,"0.005","<0.002","0.006","<1","<1",6.2,89,"2.2","0.03","0.6","TPC","middle"
"1130","Mirs Bay","MM5","2021-11-18",1,"Middle Water","1.3","<0.001","5.3","0.1","1.11","1.1","0.03",23.8,"8.6","0.43",4.3,33.3,"<0.2",7.7,"0.006","<0.002","0.004","2","2",6.4,92,"3","0.027","0.6","TPC","middle"
"1131","Mirs Bay","MM5","2021-11-18",1,"Bottom Water","0.9","<0.001","8.6","0.09","1.11","1.1","0.04",24,"7.1","0.37",4.3,33.5,"<0.2",7.6,"0.005","<0.002","0.003","<1","<1",5.7,82,"2","0.037","0.5","TPC","middle"
"1132","Mirs Bay","MM5","2021-12-06",1,"Surface Water","0.5","<0.001","56.9","0.02","0.57","0.56","0.04",20.5,"2.2","0.52",3,33.9,"<0.2",7.7,"0.007","0.004","0.008","2","1",7,95,"1.5","0.026","1","TPC","middle"
"1133","Mirs Bay","MM5","2021-12-06",1,"Middle Water","<0.5","<0.001","118.6","<0.02","0.52","0.5","0.04",20.7,"3.1","0.52",3,33.8,"<0.2",7.7,"0.008","0.004","0.011","3","<1",6.7,92,"1.2","0.027","1.5","TPC","middle"
"1134","Mirs Bay","MM5","2021-12-06",1,"Bottom Water","0.8","<0.001","114.9","<0.02","0.77","0.76","0.03",20.7,"4.3","0.52",3,33.8,"<0.2",7.7,"0.008","0.004","0.006","<1","<1",6.8,92,"1.3","0.024","1.1","TPC","middle"
"1135","Mirs Bay","MM5","2022-01-17",1,"Surface Water","<0.5","<0.001","8.8","<0.02","0.22","0.22","0.02",18.7,"1.6","0.6",3,33.6,"<0.2",7.6,"0.007","<0.002","<0.002","1","1",7,92,"3.6","0.018","0.4","TPC","middle"
"1136","Mirs Bay","MM5","2022-01-17",1,"Middle Water","<0.5","<0.001","9.7","<0.02","0.4","0.4","0.02",18.8,"1.9","0.59",3,33.7,"<0.2",7.6,"0.007","<0.002","<0.002","<1","<1",7.4,97,"2.2","0.018","0.3","TPC","middle"
"1137","Mirs Bay","MM5","2022-01-17",1,"Bottom Water","1.2","<0.001","15.2","0.02","0.77","0.77","0.03",18.9,"7.2","0.73",3,33.8,"0.4",7.6,"0.007","<0.002","<0.002","<1","<1",6.8,90,"0.7","0.025","0.1","TPC","middle"
"1138","Mirs Bay","MM5","2022-02-14",1,"Surface Water","0.6","<0.001","7.4","0.03","0.4","0.4","0.06",17.4,"4.3","0.53",2.9,33.3,"0.3",7.5,"<0.002","<0.002","<0.002","<1","<1",6.4,82,"5.1","0.059","0.7","TPC","middle"
"1139","Mirs Bay","MM5","2022-02-14",1,"Middle Water","1.1","<0.001","7","<0.02","0.26","0.26","0.03",17.2,"5.8","0.55",2.9,33.3,"0.4",7.5,"<0.002","<0.002","<0.002","<1","<1",7.6,96,"5.2","0.028","0.7","TPC","middle"
"1140","Mirs Bay","MM5","2022-02-14",1,"Bottom Water","1.1","<0.001","6","0.02","0.25","0.25","0.03",17.2,"5.5","0.55",2.9,33.3,"0.2",7.5,"<0.002","<0.002","<0.002","<1","<1",7.6,97,"5.3","0.027","0.5","TPC","middle"
"1141","Mirs Bay","MM5","2022-04-29",1,"Surface Water","1.4","0.002","5.5","<0.02","0.05","0.05","0.02",25.7,"3.6","0.13",4.6,32.2,"<0.2",8.5,"0.003","<0.002","<0.002","18","8",5.7,84,"0.5","0.016","1.2","TPC","middle"
"1142","Mirs Bay","MM5","2022-04-29",1,"Middle Water","1.7","0.002","5.8","<0.02","0.05","<0.05","0.03",23,"4.2","0.27",4.6,32.8,"<0.2",8.4,"0.003","<0.002","<0.002","1","<1",6.6,93,"0.8","0.021","1.7","TPC","middle"
"1143","Mirs Bay","MM5","2022-04-29",1,"Bottom Water","0.7","0.003","7.5","0.02","0.07","0.07","0.04",22.5,"1.8","0.59",4.6,33.9,"0.5",8.4,"0.006","<0.002","<0.002","7","<1",5.7,80,"0.8","0.031","0.9","TPC","middle"
"1144","Mirs Bay","MM5","2022-05-12",1,"Surface Water","<0.5","0.002","6","0.02","0.09","<0.05","0.07",24.4,"<0.5","<0.05",4.6,30.2,"1.4",8.1,"<0.002","<0.002","0.042","<1","<1",5.9,84,"2.4","0.03","0.7","TPC","middle"
"1145","Mirs Bay","MM5","2022-05-12",1,"Middle Water","0.5","0.001","5.6","0.03","0.11","0.07","0.06",24.5,"1","0.05",4.6,32.8,"0.3",8.1,"<0.002","<0.002","0.037","2","1",6.6,96,"2.7","0.02","<0.1","TPC","middle"
"1146","Mirs Bay","MM5","2022-05-12",1,"Bottom Water","0.6","0.002","7.8","0.04","0.2","0.11","0.15",23,"2.7","0.97",4.6,33.3,"0.2",7.9,"0.008","0.02","0.071","1","1",3.2,46,"0.8","0.061","<0.1","TPC","middle"
"1147","Mirs Bay","MM5","2022-06-24",1,"Surface Water","0.7","<0.001","6.1","0.02","0.22","0.17","0.06",28.7,"3.2","0.55",4.9,31.5,"0.8",8.1,"<0.002","<0.002","0.048","<1","<1",5.6,86,"0.5","<0.005","0.6","TPC","final"
"1148","Mirs Bay","MM5","2022-06-24",1,"Middle Water","0.7","0.001","5.8","0.03","0.17","0.14","0.06",25.1,"2","0.35",4.9,34,"0.4",8.1,"0.004","<0.002","0.029","3","<1",6.1,90,"1.8","0.026","0.5","TPC","final"
"1149","Mirs Bay","MM5","2022-06-24",1,"Bottom Water","1.8","<0.001","7.5","<0.02","0.27","0.24","0.04",24.2,"8.4","0.28",4.9,34.2,"1.5",8,"0.003","<0.002","0.029","<1","<1",4,58,"2.2","0.007","0.3","TPC","final"
"1150","Mirs Bay","MM5","2022-07-06",1,"Surface Water","1.1","0.002","10.4","<0.02","0.27","0.05","0.25",27.9,"2.6","0.29",2.1,24.5,"1",8.1,"<0.002","0.009","0.21","18","15",5.6,82,"1.8","0.034","0.3","TPC","final"
"1151","Mirs Bay","MM5","2022-07-06",1,"Middle Water","0.8","0.001","6.8","<0.02","0.19","0.07","0.15",27.3,"2.5","0.41",2.1,31.1,"0.9",7.9,"<0.002","0.011","0.11","4","<1",5,75,"0.7","0.03","<0.1","TPC","final"
"1152","Mirs Bay","MM5","2022-07-06",1,"Bottom Water","1.2","<0.001","12.9","0.03","0.21","0.09","0.13",25.2,"5.9","1.2",2.1,33.6,"<0.2",7.7,"0.01","0.009","0.11","1","<1",2.6,38,"0.6","0.012","<0.1","TPC","final"
"1153","Mirs Bay","MM5","2022-08-22",1,"Surface Water","0.9","<0.001","2.2","0.02","0.1","0.09","0.02",30.1,"2.6","0.54",3.6,29.4,"0.5",7.6,"<0.002","<0.002","0.009","3","<1",5.2,81,"0.7","0.01","0.2","TPC","final"
"1154","Mirs Bay","MM5","2022-08-22",1,"Middle Water","0.6","<0.001","4.8","0.03","0.21","0.19","0.03",28.2,"1.8","0.52",3.6,31.2,"1.6",7.5,"<0.002","0.003","0.012","1","<1",4.9,75,"5.6","0.011","0.5","TPC","final"
"1155","Mirs Bay","MM5","2022-08-22",1,"Bottom Water","2","<0.001","68.5","0.05","0.41","0.26","0.16",22.5,"5.3","1.7",3.6,34.2,"1",7.2,"0.019","0.013","0.14","<1","<1",1.8,26,"1.8","0.008","<0.1","TPC","final"
"1156","Mirs Bay","MM5","2022-09-16",1,"Surface Water","<0.5","<0.001","1.3","0.06","0.33","0.3","0.03",29.9,"1.4","0.31",5,31.7,"<0.2",7.5,"<0.002","<0.002","0.023","<1","<1",5.4,85,"0.6","<0.005","0.4","TPC","final"
"1157","Mirs Bay","MM5","2022-09-16",1,"Middle Water","<0.5","<0.001","2.3","0.05","0.25","0.23","0.03",28.8,"1","0.33",5,32.4,"<0.2",7.5,"<0.002","<0.002","0.022","<1","<1",6.6,102,"0.5","0.005","0.5","TPC","final"
"1158","Mirs Bay","MM5","2022-09-16",1,"Bottom Water","0.8","<0.001","12.5","0.06","0.36","0.34","0.03",26.3,"2.6","0.3",5,33,"0.3",7.1,"<0.002","<0.002","0.019","1","<1",1.8,27,"2.4","0.006","0.6","TPC","final"
"1159","Mirs Bay","MM5","2022-10-14",1,"Surface Water","<0.5","<0.001","5.9","0.04","0.39","0.36","0.04",27.2,"0.9","0.69",2.2,32.4,"<0.2",8.1,"0.009","<0.002","0.025","1","<1",5,76,"1.9","0.01","0.1","TPC","final"
"1160","Mirs Bay","MM5","2022-10-14",1,"Middle Water","<0.5","<0.001","6.3","0.04","0.58","0.55","0.05",27.4,"1.2","0.76",2.2,32.7,"0.9",8.1,"<0.002","<0.002","0.027","<1","<1",6.1,92,"1.7","0.016","0.1","TPC","final"
"1161","Mirs Bay","MM5","2022-10-14",1,"Bottom Water","1.1","0.001","10.6","0.05","0.62","0.57","0.07",27.8,"7.5","1.2",2.2,33.3,"1.2",8,"0.011","0.009","0.04","<1","<1",4.6,70,"0.9","0.02","<0.1","TPC","final"
"1162","Mirs Bay","MM5","2022-11-14",1,"Surface Water","0.9","<0.001","3.9","0.06","0.6","0.6","0.01",24.6,"1.2","0.59",5.8,33,"1.2",7.4,"<0.002","<0.002","<0.002","<1","<1",5.4,78,"1.4","0.009","0.5","TPC","final"
"1163","Mirs Bay","MM5","2022-11-14",1,"Middle Water","1","<0.001","9.9","0.06","0.49","0.47","0.03",23.6,"1.3","0.74",5.8,33.2,"1.6",7.3,"<0.002","0.003","0.012","<1","<1",7.3,104,"2.7","0.011","0.4","TPC","final"
"1164","Mirs Bay","MM5","2022-11-14",1,"Bottom Water","1","<0.001","57","0.09","0.6","0.53","0.08",23.3,"1.5","1.2",5.8,33.3,"0.8",7.1,"0.014","0.014","0.052","1","<1",4.9,70,"2.3","0.012","0.2","TPC","final"
"1165","Mirs Bay","MM5","2022-12-15",1,"Surface Water","1.5","<0.001","4.9","0.06","0.68","0.53","0.16",19.8,"7.8","0.79",2.1,32.9,"<0.2",7.4,"0.008","0.054","0.097","<1","<1",6.4,85,"0.4","0.013","3","TPC","final"
"1166","Mirs Bay","MM5","2022-12-15",1,"Middle Water","0.8","<0.001","4.9","0.05","0.66","0.56","0.1",19.8,"5.8","0.82",2.1,33,"<0.2",7.5,"0.008","0.042","0.053","1","<1",6.7,89,"0.3","0.008","3","TPC","final"
"1167","Mirs Bay","MM5","2022-12-15",1,"Bottom Water","1","<0.001","9.3","0.05","0.74","0.64","0.11",19.8,"3.6","0.81",2.1,33,"0.2",7.5,"0.008","0.049","0.048","<1","<1",6.7,89,"0.3","0.012","3.1","TPC","final"
"1336","Mirs Bay","MM8","2020-06-22",1,"Surface Water","2.4","0.001","7.3","<0.02","0.49","0.1","0.41",27.5,"8.5","1.1",2.5,25.2,"2.2",8.2,"0.01","0.033","0.36","1","<1",7.6,110,"15","0.015","2.2","CDA","initial"
"1337","Mirs Bay","MM8","2020-06-22",1,"Middle Water","1.7","<0.001","4.1","0.02","0.57","0.46","0.12",23.1,"10","0.95",2.5,34.2,"1.9",7.9,"0.006","0.028","0.078","8","1",3.6,52,"4.7","0.016","1.2","CDA","initial"
"1338","Mirs Bay","MM8","2020-06-22",1,"Bottom Water","3.2","<0.001","6.4","0.03","0.28","0.22","0.08",22.3,"19","0.9",2.5,34.3,"0.9",7.9,"0.007","0.027","0.028","3","<1",4.3,61,"2.6","0.02","1","CDA","initial"
"1339","Mirs Bay","MM8","2020-09-23",1,"Surface Water","1.7","<0.001","2.9","0.05","0.18","0.18","<0.01",29.7,"6","0.33",3.4,32.4,"0.4",8,"0.007","<0.002","<0.002","2","<1",5.5,86,"1.3","<0.005","0.8","CDA","initial"
"1340","Mirs Bay","MM8","2020-09-23",1,"Middle Water","1.2","<0.001","3.3","0.04","0.16","0.15","0.01",29.3,"5.2","0.35",3.4,32.4,"0.5",8,"0.006","0.003","<0.002","<1","<1",5.8,91,"1.3","0.008","0.5","CDA","initial"
"1341","Mirs Bay","MM8","2020-09-23",1,"Bottom Water","<0.5","<0.001","6.6","0.05","0.31","0.3","0.01",29.2,"1.5","0.35",3.4,32.4,"0.4",8,"0.008","0.003","<0.002","<1","<1",5.8,90,"0.9","<0.005","0.5","CDA","initial"
"1342","Mirs Bay","MM8","2020-10-29",1,"Surface Water","0.7","<0.001","5.8","0.06","0.13","0.07","0.07",24.4,"4.7","1.4",2.7,33.5,"0.9",8.1,"0.028","0.021","0.04","<1","<1",5.3,76,"0.7","0.009","0.4","CDA","initial"
"1343","Mirs Bay","MM8","2020-10-29",1,"Middle Water","1","<0.001","5.9","0.06","0.16","0.1","0.07",24.3,"5","0.97",2.7,33.5,"0.3",8.1,"0.03","0.022","0.039","1","<1",6.5,94,"1.3","0.009","0.4","CDA","initial"
"1344","Mirs Bay","MM8","2020-10-29",1,"Bottom Water","1.4","<0.001","21.5","0.05","0.51","0.45","0.06",24.1,"6.5","0.99",2.7,33.5,"0.4",8.1,"0.027","0.022","0.037","1","<1",6.6,95,"1.1","<0.005","0.3","CDA","initial"
"1345","Mirs Bay","MM8","2020-11-26",1,"Surface Water","0.6","0.001","4.2","0.05","0.51","0.4","0.14",23.4,"1.6","0.65",3,32,"1.3",8,"0.009","0.012","0.098","<1","<1",5.9,83,"2.7","0.027","0.6","CDA","initial"
"1346","Mirs Bay","MM8","2020-11-26",1,"Middle Water","<0.5","<0.001","4.1","0.06","0.62","0.51","0.13",22.8,"<0.5","0.51",3,32.1,"1.1",8,"0.01","0.013","0.1","<1","<1",7.1,99,"2.7","0.013","0.6","CDA","initial"
"1347","Mirs Bay","MM8","2020-11-26",1,"Bottom Water","<0.5","<0.001","5.4","0.06","0.6","0.49","0.13",22.7,"2.7","0.51",3,32.1,"0.9",8,"0.01","0.013","0.1","1","1",7.1,99,"2.4","0.015","0.7","CDA","initial"
"1348","Mirs Bay","MM8","2021-02-18",1,"Surface Water","1.5","<0.001","3.2","0.09","1.61","1.6","0.03",19.8,"9.1","0.29",3.9,33.9,"<0.2",7.9,"0.01","0.005","<0.002","1","<1",5.1,69,"2.5","0.027","0.3","CDA","initial"
"1349","Mirs Bay","MM8","2021-02-18",1,"Middle Water","1.2","<0.001","3.2","0.08","1.01","1","0.04",20.1,"9.6","0.29",3.9,33.9,"<0.2",7.9,"0.012","0.005","<0.002","<1","<1",6.1,82,"1.9","0.029","0.3","CDA","initial"
"1350","Mirs Bay","MM8","2021-02-18",1,"Bottom Water","1.9","<0.001","4.2","0.04","1.31","1.3","0.04",20.3,"9.7","0.28",3.9,33.9,"<0.2",7.9,"0.011","0.004","0.003","<1","<1",6.9,101,"2.1","0.028","0.3","CDA","initial"
"1351","Mirs Bay","MM8","2021-03-19",1,"Surface Water","<0.5","<0.001","2.2","0.04","0.05","0.05","0.03",22.5,"<0.5","0.36",6.7,33.7,"<0.2",7.9,"0.009","<0.002","<0.002","<1","<1",4.9,69,"0.7","0.028","0.1","CDA","initial"
"1352","Mirs Bay","MM8","2021-03-19",1,"Middle Water","<0.5","<0.001","2.2","0.05","0.15","0.15","0.03",21.7,"<0.5","0.42",6.7,33.5,"<0.2",7.9,"0.008","<0.002","0.002","<1","<1",5,69,"1.3","0.022","0.3","CDA","initial"
"1353","Mirs Bay","MM8","2021-03-19",1,"Bottom Water","<0.5","<0.001","6.2","0.04","0.1","0.09","0.03",21.8,"1.2","0.36",6.7,33.8,"<0.2",7.9,"0.007","<0.002","0.004","<1","<1",4.4,61,"0.6","0.024","<0.1","CDA","initial"
"1354","Mirs Bay","MM8","2021-04-22",1,"Surface Water","<0.5","<0.001","3.5","0.05","0.35","0.35","0.03",24.8,"2.2","0.26",2.6,34,"<0.2",7.7,"0.012","<0.002","<0.002","<1","<1",4.5,66,"0.8","0.029","0.3","CDA","initial"
"1355","Mirs Bay","MM8","2021-04-22",1,"Middle Water","<0.5","<0.001","4.2","0.06","0.32","0.32","0.03",23.1,"3.3","0.33",2.6,34,"<0.2",7.7,"0.009","<0.002","<0.002","1","<1",5.5,79,"0.7","0.028","0.2","CDA","initial"
"1356","Mirs Bay","MM8","2021-04-22",1,"Bottom Water","0.7","<0.001","7.9","0.05","0.36","0.35","0.03",22.9,"6.6","0.32",2.6,34,"<0.2",7.7,"0.007","<0.002","0.003","1","<1",4.6,66,"0.6","0.029","0.2","CDA","initial"
"1357","Mirs Bay","MM8","2021-05-24",1,"Surface Water","0.9","<0.001","2.9","N/A","N/A","N/A","0.34",28.1,"1.2","<0.05",3.1,27.8,"0.8",7.8,"<0.002","0.028","0.29","2","2",7.6,114,"6.1","0.017","1.5","CDA","initial"
"1358","Mirs Bay","MM8","2021-05-24",1,"Middle Water","0.5","<0.001","3","N/A","N/A","N/A","0.1",24.5,"1.6","0.39",3.1,34.1,"0.4",7.5,"0.006","0.016","0.058","<1","<1",3.7,53,"1.8","0.026","0.3","CDA","initial"
"1359","Mirs Bay","MM8","2021-05-24",1,"Bottom Water","1.2","<0.001","3.2","N/A","N/A","N/A","0.11",22.9,"1.6","0.16",3.1,34.3,"1.1",7.5,"0.004","0.014","0.075","<1","<1",3.1,44,"4.1","0.025","0.6","CDA","initial"
"1360","Mirs Bay","MM8","2021-06-24",1,"Surface Water","0.5","<0.001","22.7","N/A","N/A","N/A","0.16",27.2,"1.9","0.12",3.9,30.1,"2.2",7.7,"<0.002","0.02","0.11","4","2",5.4,80,"8.5","0.026","1.3","CDA","middle"
"1361","Mirs Bay","MM8","2021-06-24",1,"Middle Water","0.7","<0.001","3.4","N/A","N/A","N/A","0.07",24.2,"2.4","0.63",3.9,34.3,"1.1",7.5,"0.009","0.033","0.017","1","<1",3.5,51,"0.3","0.016","0.1","CDA","middle"
"1362","Mirs Bay","MM8","2021-06-24",1,"Bottom Water","0.9","<0.001","5.6","N/A","N/A","N/A","0.05",23.5,"8.7","0.53",3.9,34.5,"0.3",7.5,"0.009","0.029","0.01","<1","<1",3.7,53,"0.8","0.011","0.3","CDA","middle"
"1363","Mirs Bay","MM8","2021-07-22",1,"Surface Water","0.6","<0.001","2.8","N/A","N/A","N/A","0.07",28.4,"1.6","0.55",7,30.5,"<0.2",7.5,"0.005","<0.002","0.034","<1","<1",6.7,87,"1.1","0.037","0.3","CDA","middle"
"1364","Mirs Bay","MM8","2021-07-22",1,"Middle Water","0.5","<0.001","2.3","N/A","N/A","N/A","0.04",28.1,"1.1","0.31",7,33,"<0.2",7.4,"0.004","<0.002","0.011","<1","<1",4.1,64,"0.8","0.031","<0.1","CDA","middle"
"1365","Mirs Bay","MM8","2021-07-22",1,"Bottom Water","<0.5","<0.001","8.2","N/A","N/A","N/A","0.04",24.8,"1.2","0.3",7,34,"0.4",7.2,"0.004","<0.002","0.008","<1","<1",2.7,40,"0.3","0.028","<0.1","CDA","middle"
"1366","Mirs Bay","MM8","2021-08-23",1,"Surface Water","1.6","<0.001","3.7","N/A","N/A","N/A","0.05",26.9,"3.7","0.06",2.4,31.4,"7.2",7.6,"<0.002","0.011","0.012","<1","<1",5.7,73,"12","0.028","3.1","CDA","middle"
"1367","Mirs Bay","MM8","2021-08-23",1,"Middle Water","0.8","<0.001","4.2","N/A","N/A","N/A","0.08",22.8,"2.4","0.71",2.4,34.3,"1.5",7.3,"0.008","0.008","0.048","3","<1",3.7,52,"5.7","0.027","0.7","CDA","middle"
"1368","Mirs Bay","MM8","2021-08-23",1,"Bottom Water","0.7","<0.001","6.1","N/A","N/A","N/A","0.09",22.4,"2","0.84",2.4,34.4,"1.2",7.3,"0.013","0.01","0.053","<1","<1",2.7,38,"1.4","0.026","0.3","CDA","middle"
"1369","Mirs Bay","MM8","2021-09-29",1,"Surface Water","0.7","0.002","6.9","N/A","N/A","N/A","0.05",30.5,"1","0.27",3.8,32.6,"<0.2",8.2,"0.005","<0.002","0.022","<1","<1",5.2,83,"1.4","0.024","0.8","CDA","middle"
"1370","Mirs Bay","MM8","2021-09-29",1,"Middle Water","<0.5","0.003","4.5","N/A","N/A","N/A","0.06",29.6,"0.6","0.22",3.8,32.8,"<0.2",8.2,"0.005","<0.002","0.029","<1","<1",5.1,80,"1.3","0.028","0.5","CDA","middle"
"1371","Mirs Bay","MM8","2021-09-29",1,"Bottom Water","<0.5","0.002","11.2","N/A","N/A","N/A","0.06",29,"0.6","0.34",3.8,33,"<0.2",8.1,"0.007","<0.002","0.03","<1","<1",4.4,69,"1.4","0.031","0.5","CDA","middle"
"1372","Mirs Bay","MM8","2021-10-27",1,"Surface Water","0.5","0.001","17.7","N/A","N/A","N/A","0.06",25.8,"1.5","0.63",2.9,33.3,"<0.2",8,"0.008","0.022","0.01","<1","<1",6.1,91,"1.2","0.029","0.3","CDA","middle"
"1373","Mirs Bay","MM8","2021-10-27",1,"Middle Water","0.9","0.001","6.1","N/A","N/A","N/A","0.06",26,"3.7","0.64",2.9,33.5,"<0.2",8,"0.007","0.021","0.012","<1","<1",6.2,92,"0.9","0.026","0.2","CDA","middle"
"1374","Mirs Bay","MM8","2021-10-27",1,"Bottom Water","1","0.001","13.7","N/A","N/A","N/A","0.06",26.2,"5.2","0.63",2.9,33.7,"<0.2",8,"0.008","0.019","0.011","<1","<1",6.1,91,"0.9","0.025","0.1","CDA","middle"
"1375","Mirs Bay","MM8","2021-11-25",1,"Surface Water","0.8","<0.001","7.7","0.02","0.33","0.3","0.06",23.7,"4.8","0.46",2.1,33.7,"<0.2",7.7,"0.009","0.013","0.015","46","45",6.1,87,"1.1","0.028","0.7","CDA","middle"
